cases,deaths,countriesAndTerritories,year,month,day
0,0,Afghanistan,2020,2,15
0,0,Afghanistan,2020,2,14
0,0,Afghanistan,2020,2,13
0,0,Afghanistan,2020,2,12
0,0,Afghanistan,2020,2,11
0,0,Afghanistan,2020,2,10
0,0,Afghanistan,2020,2,9
0,0,Afghanistan,2020,2,8
0,0,Afghanistan,2020,2,7
0,0,Afghanistan,2020,2,6
0,0,Afghanistan,2020,2,5
0,0,Afghanistan,2020,2,4
0,0,Afghanistan,2020,2,3
0,0,Afghanistan,2020,2,2
0,0,Afghanistan,2020,2,1
0,0,Afghanistan,2020,1,31
0,0,Afghanistan,2020,1,30
0,0,Afghanistan,2020,1,29
0,0,Afghanistan,2020,1,28
0,0,Afghanistan,2020,1,27
0,0,Afghanistan,2020,1,26
0,0,Afghanistan,2020,1,25
0,0,Afghanistan,2020,1,24
0,0,Afghanistan,2020,1,23
0,0,Afghanistan,2020,1,22
0,0,Afghanistan,2020,1,21
0,0,Afghanistan,2020,1,20
0,0,Afghanistan,2020,1,19
0,0,Afghanistan,2020,1,18
0,0,Afghanistan,2020,1,17
0,0,Afghanistan,2020,1,16
0,0,Afghanistan,2020,1,15
0,0,Afghanistan,2020,1,14
0,0,Afghanistan,2020,1,13
0,0,Afghanistan,2020,1,12
0,0,Afghanistan,2020,1,11
0,0,Afghanistan,2020,1,10
0,0,Afghanistan,2020,1,9
0,0,Afghanistan,2020,1,8
0,0,Afghanistan,2020,1,7
0,0,Afghanistan,2020,1,6
0,0,Afghanistan,2020,1,5
0,0,Afghanistan,2020,1,4
0,0,Afghanistan,2020,1,3
0,0,Afghanistan,2020,1,2
0,0,Afghanistan,2020,1,1
0,0,Afghanistan,2019,12,31
295,3,Albania,2020,10,20
281,3,Albania,2020,10,19
273,5,Albania,2020,10,18
289,4,Albania,2020,10,17
257,5,Albania,2020,10,16
203,5,Albania,2020,10,15
182,5,Albania,2020,10,14
171,4,Albania,2020,10,13
168,4,Albania,2020,10,12
165,3,Albania,2020,10,11
167,2,Albania,2020,10,10
169,4,Albania,2020,10,9
162,4,Albania,2020,10,8
158,3,Albania,2020,10,7
144,4,Albania,2020,10,6
149,4,Albania,2020,10,5
152,3,Albania,2020,10,4
159,1,Albania,2020,10,3
157,1,Albania,2020,10,2
131,3,Albania,2020,10,1
127,4,Albania,2020,9,30
132,3,Albania,2020,9,29
106,2,Albania,2020,9,28
108,2,Albania,2020,9,27
124,3,Albania,2020,9,26
134,0,Albania,2020,9,25
121,3,Albania,2020,9,24
131,3,Albania,2020,9,23
150,2,Albania,2020,9,22
159,4,Albania,2020,9,21
153,5,Albania,2020,9,20
125,5,Albania,2020,9,19
132,5,Albania,2020,9,18
144,3,Albania,2020,9,17
152,2,Albania,2020,9,16
167,4,Albania,2020,9,15
168,4,Albania,2020,9,14
164,3,Albania,2020,9,13
161,3,Albania,2020,9,12
156,2,Albania,2020,9,11
151,1,Albania,2020,9,10
147,2,Albania,2020,9,9
151,3,Albania,2020,9,8
153,4,Albania,2020,9,7
135,6,Albania,2020,9,6
123,5,Albania,2020,9,5
116,5,Albania,2020,9,4
122,6,Albania,2020,9,3
93,6,Albania,2020,9,2
133,4,Albania,2020,9,1
101,5,Albania,2020,8,31
84,4,Albania,2020,8,30
112,5,Albania,2020,8,29
156,3,Albania,2020,8,28
168,4,Albania,2020,8,27
154,5,Albania,2020,8,26
178,4,Albania,2020,8,25
152,5,Albania,2020,8,24
156,5,Albania,2020,8,23
152,2,Albania,2020,8,22
155,4,Albania,2020,8,21
158,2,Albania,2020,8,20
155,2,Albania,2020,8,19
119,2,Albania,2020,8,18
120,3,Albania,2020,8,17
143,6,Albania,2020,8,16
146,6,Albania,2020,8,15
