location_name,est_infections_lower,est_infections_upper,year,month,day
Spain,894.035391411063,1098.04253654159,2020,6,3
Spain,861.3696708572569,1067.23940215783,2020,6,4
Spain,825.642233824206,1034.1540036427198,2020,6,5
Spain,788.876595978888,1001.0715185099199,2020,6,6
Spain,751.883154983432,967.8267974719008,2020,6,7
Spain,716.4524798625972,933.837324762103,2020,6,8
Spain,682.3747244307409,895.48528045922,2020,6,9
Spain,649.00841688888,854.1136239704622,2020,6,10
Spain,616.0846470983249,815.833404010722,2020,6,11
Spain,588.619238770602,779.585586949233,2020,6,12
Spain,559.1638379420771,741.935874259693,2020,6,13
Spain,532.608548463078,706.100051783983,2020,6,14
Spain,509.65656141769097,672.586563492727,2020,6,15
Spain,486.548038740783,641.2999799616671,2020,6,16
Spain,466.7460720439621,613.461816525066,2020,6,17
Spain,447.33836496976096,584.213868881435,2020,6,18
Spain,429.80175560857595,557.6313442487619,2020,6,19
Spain,413.770753554198,530.911468059508,2020,6,20
Spain,398.87885679596496,510.00104687434197,2020,6,21
Spain,385.763966745526,489.316513769152,2020,6,22
Spain,375.03689366291496,472.084989216299,2020,6,23
Spain,366.38987336165803,453.424177198985,2020,6,24
Spain,358.779512469608,438.13063503479896,2020,6,25
Spain,353.282363020949,424.31842763260903,2020,6,26
Spain,349.895032212761,413.395848970597,2020,6,27
Spain,346.864294959487,404.99672711035896,2020,6,28
Spain,346.596722281952,404.35657470155604,2020,6,29
Spain,346.728722742218,411.276782121825,2020,6,30
Spain,348.5384575016031,423.2800379954461,2020,7,1
Spain,353.740332932975,440.299496639654,2020,7,2
Spain,360.93274895285003,460.83188241319,2020,7,3
Spain,371.077279883619,489.102359088218,2020,7,4
Spain,383.8556395981109,523.2272477955249,2020,7,5
Spain,400.42628443874605,563.494249519075,2020,7,6
Spain,420.163974784796,609.3987755982901,2020,7,7
Spain,444.5395141965181,663.890384222497,2020,7,8
Spain,473.5351008041671,724.454484446896,2020,7,9
Spain,508.517711050653,792.958549355553,2020,7,10
Spain,550.426650373027,871.1900291745401,2020,7,11
Spain,599.388343103009,956.445041778616,2020,7,12
Spain,654.7904313163849,1046.5180670013099,2020,7,13
Spain,715.4486555465538,1149.29141338627,2020,7,14
Spain,782.653604790616,1255.60962607255,2020,7,15
Spain,860.2252395968179,1369.0128845864501,2020,7,16
Spain,942.196794256535,1498.2079846358401,2020,7,17
Spain,1031.78967133946,1625.56868056039,2020,7,18
Spain,1123.31991617851,1759.98798703568,2020,7,19
Spain,1222.0025767843401,1886.81961014154,2020,7,20
Spain,1330.41717002885,2020.6636447302496,2020,7,21
Spain,1445.81148952256,2148.78898761948,2020,7,22
Spain,1560.9738390268699,2278.34442410144,2020,7,23
